label,url_length,starts_with_ip,url_entropy,has_punycode,digit_letter_ratio,dot_count,at_count,dash_count,tld_count,domain_has_digit,subdomain_count,nan_char_entropy,has_internal_links
phishing,128,1,4.719884982402209,False,0.7109375,4,0,0,0,False,5,2.7550576199383077,False
phishing,53,1,4.533878708994438,False,0.39622641509433965,2,0,0,0,False,3,1.459147917027245,False
phishing,85,0,4.140930909015926,False,0.8235294117647058,2,0,0,0,False,3,1.6894822670191827,False
phishing,47,1,4.408327086125995,False,0.40425531914893614,2,0,0,0,False,2,1.6577427265048887,False
phishing,48,0,4.121653522439334,False,0.8125,4,0,0,0,False,5,1.836591668108979,False
phishing,27,0,4.106377316818025,False,0.7407407407407407,2,0,0,0,True,3,1.459147917027245,False
phishing,47,0,4.644910394184798,False,0.723404255319149,2,0,0,0,True,3,1.3787834934861756,False
phishing,38,0,4.14860021052734,False,0.8157894736842105,2,0,0,0,True,3,1.459147917027245,False
phishing,33,0,4.513794876803091,False,0.696969696969697,2,0,0,0,True,3,1.459147917027245,False
phishing,154,1,5.022609458182806,False,0.7337662337662337,4,0,0,0,True,5,1.788450457308289,False
phishing,36,0,4.048688113203417,False,0.7777777777777778,1,0,0,0,False,2,1.5487949406953987,False
phishing,120,1,4.858200442046241,False,0.6916666666666667,4,0,0,0,False,5,2.5941178916311856,False
phishing,96,0,4.453707814343078,False,0.8645833333333334,3,0,0,0,False,3,1.823026490712885,False
phishing,41,0,4.44267944353694,False,0.7073170731707317,2,0,0,0,True,3,1.9056390622295665,False
phishing,51,0,4.398038705506967,False,0.7647058823529411,2,0,0,0,False,3,2.751629167387823,False
phishing,45,1,4.041092818215358,False,0.7111111111111111,4,0,0,0,True,5,1.7527152789797047,False
phishing,86,1,4.696402475975256,False,0.6162790697674418,3,0,0,0,False,3,1.4056390622295665,False
phishing,127,1,4.884035821983281,False,0.5354330708661418,3,0,0,0,True,3,2.60623892865339,False
phishing,80,1,4.443742552530726,False,0.3125,4,0,0,0,True,4,1.3921472236645347,False
phishing,39,0,4.047846769977879,False,0.8461538461538461,2,0,0,0,False,3,1.459147917027245,False
phishing,124,1,4.084934928395835,False,0.6290322580645161,3,0,0,0,False,3,1.7527152789797047,False
phishing,155,1,5.07103148256204,False,0.47096774193548385,1,0,0,0,False,2,2.8511494238930326,False
phishing,133,0,4.643813035890022,False,0.7894736842105263,1,0,0,0,False,2,2.392277173072062,False
phishing,81,0,4.553821725101925,False,0.7901234567901234,2,0,0,0,False,2,1.9591479170272443,False
phishing,37,0,4.175273297885967,False,0.8108108108108109,2,0,0,0,True,3,1.459147917027245,False
phishing,23,0,3.7251042179439575,False,0.7391304347826086,1,0,0,0,False,2,1.370950594454669,False
phishing,25,0,3.9434651896016466,False,0.6,2,0,0,0,True,3,1.459147917027245,False
phishing,38,0,3.8232178953536486,False,0.868421052631579,2,0,0,0,False,3,1.5219280948873626,False
phishing,32,0,4.077819531114782,False,0.8125,2,0,0,0,True,3,1.5219280948873626,False
phishing,15,0,3.323231428797621,False,0.5333333333333333,1,0,0,0,True,2,1.370950594454669,False
phishing,89,0,4.438002179762829,False,0.7078651685393258,2,0,0,1,False,3,1.7638421227824586,False
phishing,70,0,4.072779488684947,False,0.8571428571428571,1,0,0,0,False,2,0.9219280948873624,False
phishing,67,0,4.139601691100085,False,0.8208955223880597,3,0,0,0,False,3,1.896240625180289,False
phishing,60,0,4.710649970428229,False,0.6833333333333333,2,0,0,1,False,3,2.0588138903312014,False
